datetime,symbol,open,high,low,close,volume
2007-09-28 13:30:00,INDEX:ADRN,0.6,0.6,0.6,0.6,0.0
2007-10-01 13:30:00,INDEX:ADRN,4.49,4.49,4.49,4.49,0.0
2007-10-02 13:30:00,INDEX:ADRN,1.43,1.43,1.43,1.43,0.0
2007-10-03 13:30:00,INDEX:ADRN,0.48,0.48,0.48,0.48,0.0
2007-10-04 13:30:00,INDEX:ADRN,1.55,1.55,1.55,1.55,0.0
2007-10-05 13:30:00,INDEX:ADRN,5.36,5.36,5.36,5.36,0.0
2007-10-08 13:30:00,INDEX:ADRN,0.48,0.48,0.48,0.48,0.0
2007-10-09 13:30:00,INDEX:ADRN,2.39,2.39,2.39,2.39,0.0
2007-10-10 13:30:00,INDEX:ADRN,0.83,0.83,0.83,0.83,0.0
2007-10-11 13:30:00,INDEX:ADRN,0.52,0.52,0.52,0.52,0.0
2007-10-12 13:30:00,INDEX:ADRN,1.72,1.72,1.72,1.72,0.0
2007-10-15 13:30:00,INDEX:ADRN,0.3,0.3,0.3,0.3,0.0
2007-10-16 13:30:00,INDEX:ADRN,0.36,0.36,0.36,0.36,0.0
2007-10-17 13:30:00,INDEX:ADRN,1.11,1.11,1.11,1.11,0.0
2007-10-18 13:30:00,INDEX:ADRN,1.0,1.0,1.0,1.0,0.0
2007-10-19 13:30:00,INDEX:ADRN,0.08,0.08,0.08,0.08,0.0
2007-10-22 13:30:00,INDEX:ADRN,1.68,1.68,1.68,1.68,0.0
2007-10-23 13:30:00,INDEX:ADRN,2.21,2.21,2.21,2.21,0.0
2007-10-24 13:30:00,INDEX:ADRN,0.65,0.65,0.65,0.65,0.0
2007-10-25 13:30:00,INDEX:ADRN,1.03,1.03,1.03,1.03,0.0
2007-10-26 13:30:00,INDEX:ADRN,3.49,3.49,3.49,3.49,0.0
2007-10-29 13:30:00,INDEX:ADRN,1.31,1.31,1.31,1.31,0.0
2007-10-30 13:30:00,INDEX:ADRN,0.58,0.58,0.58,0.58,0.0
2007-10-31 13:30:00,INDEX:ADRN,3.53,3.53,3.53,3.53,0.0
2007-11-01 13:30:00,INDEX:ADRN,0.11,0.11,0.11,0.11,0.0
2007-11-02 13:30:00,INDEX:ADRN,1.08,1.08,1.08,1.08,0.0
2007-11-05 14:30:00,INDEX:ADRN,0.34,0.34,0.34,0.34,0.0
2007-11-06 14:30:00,INDEX:ADRN,2.6,2.6,2.6,2.6,0.0
2007-11-07 14:30:00,INDEX:ADRN,0.09,0.09,0.09,0.09,0.0
2007-11-08 14:30:00,INDEX:ADRN,1.3,1.3,1.3,1.3,0.0
2007-11-09 14:30:00,INDEX:ADRN,0.38,0.38,0.38,0.38,0.0
2007-11-12 14:30:00,INDEX:ADRN,0.55,0.55,0.55,0.55,0.0
2007-11-13 14:30:00,INDEX:ADRN,6.93,6.93,6.93,6.93,0.0
2007-11-14 14:30:00,INDEX:ADRN,0.57,0.57,0.57,0.57,0.0
2007-11-15 14:30:00,INDEX:ADRN,0.31,0.31,0.31,0.31,0.0
2007-11-16 14:30:00,INDEX:ADRN,0.94,0.94,0.94,0.94,0.0
2007-11-19 14:30:00,INDEX:ADRN,0.14,0.14,0.14,0.14,0.0
2007-11-20 14:30:00,INDEX:ADRN,1.08,1.08,1.08,1.08,0.0
2007-11-21 14:30:00,INDEX:ADRN,0.3,0.3,0.3,0.3,0.0
2007-11-23 14:30:00,INDEX:ADRN,6.36,6.36,6.36,6.36,0.0
2007-11-26 14:30:00,INDEX:ADRN,0.2,0.2,0.2,0.2,0.0
2007-11-27 14:30:00,INDEX:ADRN,2.34,2.34,2.34,2.34,0.0
2007-11-28 14:30:00,INDEX:ADRN,10.24,10.24,10.24,10.24,0.0
2007-11-29 14:30:00,INDEX:ADRN,0.64,0.64,0.64,0.64,0.0
2007-11-30 14:30:00,INDEX:ADRN,1.97,1.97,1.97,1.97,0.0
2007-12-03 14:30:00,INDEX:ADRN,0.54,0.54,0.54,0.54,0.0
2007-12-04 14:30:00,INDEX:ADRN,0.46,0.46,0.46,0.46,0.0
2007-12-05 14:30:00,INDEX:ADRN,3.82,3.82,3.82,3.82,0.0
2007-12-06 14:30:00,INDEX:ADRN,4.83,4.83,4.83,4.83,0.0
2007-12-07 14:30:00,INDEX:ADRN,1.0,1.0,1.0,1.0,0.0
2007-12-10 14:30:00,INDEX:ADRN,1.95,1.95,1.95,1.95,0.0
2007-12-11 14:30:00,INDEX:ADRN,0.1,0.1,0.1,0.1,0.0
2007-12-12 14:30:00,INDEX:ADRN,1.46,1.46,1.46,1.46,0.0
2007-12-13 14:30:00,INDEX:ADRN,0.63,0.63,0.63,0.63,0.0
2007-12-14 14:30:00,INDEX:ADRN,0.21,0.21,0.21,0.21,0.0
2007-12-17 14:30:00,INDEX:ADRN,0.18,0.18,0.18,0.18,0.0
2007-12-18 14:30:00,INDEX:ADRN,2.34,2.34,2.34,2.34,0.0
2007-12-19 14:30:00,INDEX:ADRN,0.95,0.95,0.95,0.95,0.0
2007-12-20 14:30:00,INDEX:ADRN,1.82,1.82,1.82,1.82,0.0
2007-12-21 14:30:00,INDEX:ADRN,4.93,4.93,4.93,4.93,0.0
2007-12-24 14:30:00,INDEX:ADRN,3.42,3.42,3.42,3.42,0.0
2007-12-26 14:30:00,INDEX:ADRN,0.94,0.94,0.94,0.94,0.0
2007-12-27 14:30:00,INDEX:ADRN,0.16,0.16,0.16,0.16,0.0
2007-12-28 14:30:00,INDEX:ADRN,1.01,1.01,1.01,1.01,0.0
2007-12-31 14:30:00,INDEX:ADRN,0.6,0.6,0.6,0.6,0.0
2008-01-02 14:30:00,INDEX:ADRN,0.39,0.39,0.39,0.39,0.0
2008-01-03 14:30:00,INDEX:ADRN,0.62,0.62,0.62,0.62,0.0
2008-01-04 14:30:00,INDEX:ADRN,0.12,0.12,0.12,0.12,0.0
2008-01-07 14:30:00,INDEX:ADRN,1.12,1.12,1.12,1.12,0.0
2008-01-08 14:30:00,INDEX:ADRN,0.28,0.28,0.28,0.28,0.0
2008-01-09 14:30:00,INDEX:ADRN,1.63,1.63,1.63,1.63,0.0
2008-01-10 14:30:00,INDEX:ADRN,1.89,1.89,1.89,1.89,0.0
2008-01-11 14:30:00,INDEX:ADRN,0.29,0.29,0.29,0.29,0.0
2008-01-14 14:30:00,INDEX:ADRN,1.92,1.92,1.92,1.92,0.0
2008-01-15 14:30:00,INDEX:ADRN,0.16,0.16,0.16,0.16,0.0
2008-01-16 14:30:00,INDEX:ADRN,1.03,1.03,1.03,1.03,0.0
2008-01-17 14:30:00,INDEX:ADRN,0.14,0.14,0.14,0.14,0.0
2008-01-18 14:30:00,INDEX:ADRN,0.63,0.63,0.63,0.63,0.0
2008-01-23 14:30:00,INDEX:ADRN,2.4,2.4,2.4,2.4,0.0
2008-01-24 14:30:00,INDEX:ADRN,1.38,1.38,1.38,1.38,0.0
2008-01-25 14:30:00,INDEX:ADRN,0.59,0.59,0.59,0.59,0.0
2008-01-28 14:30:00,INDEX:ADRN,4.22,4.22,4.22,4.22,0.0
2008-01-29 14:30:00,INDEX:ADRN,1.61,1.61,1.61,1.61,0.0
2008-01-30 14:30:00,INDEX:ADRN,0.55,0.55,0.55,0.55,0.0
2008-01-31 14:30:00,INDEX:ADRN,3.53,3.53,3.53,3.53,0.0
2008-02-01 14:30:00,INDEX:ADRN,4.42,4.42,4.42,4.42,0.0
2008-02-04 14:30:00,INDEX:ADRN,0.64,0.64,0.64,0.64,0.0
2008-02-05 14:30:00,INDEX:ADRN,0.11,0.11,0.11,0.11,0.0
2008-02-06 14:30:00,INDEX:ADRN,0.48,0.48,0.48,0.48,0.0
