datetime,symbol,open,high,low,close,volume
2002-01-02 14:30:00,INDEX:MMTW,66.76,66.76,66.76,66.76,0.0
2002-01-03 14:30:00,INDEX:MMTW,75.25,75.25,75.25,75.25,0.0
2002-01-04 14:30:00,INDEX:MMTW,77.5,77.5,77.5,77.5,0.0
2002-01-07 14:30:00,INDEX:MMTW,72.42,72.42,72.42,72.42,0.0
2002-01-08 14:30:00,INDEX:MMTW,73.39,73.39,73.39,73.39,0.0
2002-01-09 14:30:00,INDEX:MMTW,69.81,69.81,69.81,69.81,0.0
2002-01-10 14:30:00,INDEX:MMTW,67.76,67.76,67.76,67.76,0.0
2002-01-11 14:30:00,INDEX:MMTW,61.84,61.84,61.84,61.84,0.0
2002-01-14 14:30:00,INDEX:MMTW,53.46,53.46,53.46,53.46,0.0
2002-01-15 14:30:00,INDEX:MMTW,54.41,54.41,54.41,54.41,0.0
2002-01-16 14:30:00,INDEX:MMTW,45.65,45.65,45.65,45.65,0.0
2002-01-17 14:30:00,INDEX:MMTW,50.33,50.33,50.33,50.33,0.0
2002-01-18 14:30:00,INDEX:MMTW,44.06,44.06,44.06,44.06,0.0
2002-01-22 14:30:00,INDEX:MMTW,39.88,39.88,39.88,39.88,0.0
2002-01-23 14:30:00,INDEX:MMTW,45.6,45.6,45.6,45.6,0.0
2002-01-24 14:30:00,INDEX:MMTW,46.93,46.93,46.93,46.93,0.0
2002-01-25 14:30:00,INDEX:MMTW,47.56,47.56,47.56,47.56,0.0
2002-01-28 14:30:00,INDEX:MMTW,48.58,48.58,48.58,48.58,0.0
2002-01-29 14:30:00,INDEX:MMTW,39.89,39.89,39.89,39.89,0.0
2002-01-30 14:30:00,INDEX:MMTW,44.42,44.42,44.42,44.42,0.0
2002-01-31 14:30:00,INDEX:MMTW,50.52,50.52,50.52,50.52,0.0
2002-02-01 14:30:00,INDEX:MMTW,48.93,48.93,48.93,48.93,0.0
2002-02-04 14:30:00,INDEX:MMTW,40.13,40.13,40.13,40.13,0.0
2002-02-05 14:30:00,INDEX:MMTW,38.43,38.43,38.43,38.43,0.0
2002-02-06 14:30:00,INDEX:MMTW,35.42,35.42,35.42,35.42,0.0
2002-02-07 14:30:00,INDEX:MMTW,32.52,32.52,32.52,32.52,0.0
2002-02-08 14:30:00,INDEX:MMTW,40.4,40.4,40.4,40.4,0.0
2002-02-11 14:30:00,INDEX:MMTW,46.09,46.09,46.09,46.09,0.0
2002-02-12 14:30:00,INDEX:MMTW,47.4,47.4,47.4,47.4,0.0
2002-02-13 14:30:00,INDEX:MMTW,52.59,52.59,52.59,52.59,0.0
2002-02-14 14:30:00,INDEX:MMTW,49.11,49.11,49.11,49.11,0.0
2002-02-15 14:30:00,INDEX:MMTW,47.76,47.76,47.76,47.76,0.0
2002-02-19 14:30:00,INDEX:MMTW,40.11,40.11,40.11,40.11,0.0
2002-02-20 14:30:00,INDEX:MMTW,45.89,45.89,45.89,45.89,0.0
2002-02-21 14:30:00,INDEX:MMTW,40.21,40.21,40.21,40.21,0.0
2002-02-22 14:30:00,INDEX:MMTW,46.81,46.81,46.81,46.81,0.0
2002-02-25 14:30:00,INDEX:MMTW,50.48,50.48,50.48,50.48,0.0
2002-02-26 14:30:00,INDEX:MMTW,52.76,52.76,52.76,52.76,0.0
2002-02-27 14:30:00,INDEX:MMTW,54.68,54.68,54.68,54.68,0.0
2002-02-28 14:30:00,INDEX:MMTW,54.59,54.59,54.59,54.59,0.0
2002-03-01 14:30:00,INDEX:MMTW,64.45,64.45,64.45,64.45,0.0
2002-03-04 14:30:00,INDEX:MMTW,70.26,70.26,70.26,70.26,0.0
2002-03-05 14:30:00,INDEX:MMTW,71.55,71.55,71.55,71.55,0.0
2002-03-06 14:30:00,INDEX:MMTW,75.88,75.88,75.88,75.88,0.0
2002-03-07 14:30:00,INDEX:MMTW,75.19,75.19,75.19,75.19,0.0
2002-03-08 14:30:00,INDEX:MMTW,75.84,75.84,75.84,75.84,0.0
2002-03-11 14:30:00,INDEX:MMTW,78.58,78.58,78.58,78.58,0.0
2002-03-12 14:30:00,INDEX:MMTW,74.7,74.7,74.7,74.7,0.0
2002-03-13 14:30:00,INDEX:MMTW,71.7,71.7,71.7,71.7,0.0
2002-03-14 14:30:00,INDEX:MMTW,72.5,72.5,72.5,72.5,0.0
2002-03-15 14:30:00,INDEX:MMTW,73.41,73.41,73.41,73.41,0.0
2002-03-18 14:30:00,INDEX:MMTW,74.59,74.59,74.59,74.59,0.0
2002-03-19 14:30:00,INDEX:MMTW,72.99,72.99,72.99,72.99,0.0
2002-03-20 14:30:00,INDEX:MMTW,67.0,67.0,67.0,67.0,0.0
2002-03-21 14:30:00,INDEX:MMTW,67.67,67.67,67.67,67.67,0.0
2002-03-22 14:30:00,INDEX:MMTW,63.26,63.26,63.26,63.26,0.0
2002-03-25 14:30:00,INDEX:MMTW,53.41,53.41,53.41,53.41,0.0
2002-03-26 14:30:00,INDEX:MMTW,55.51,55.51,55.51,55.51,0.0
2002-03-27 14:30:00,INDEX:MMTW,58.25,58.25,58.25,58.25,0.0
2002-03-28 14:30:00,INDEX:MMTW,59.0,59.0,59.0,59.0,0.0
2002-04-01 14:30:00,INDEX:MMTW,55.2,55.2,55.2,55.2,0.0
2002-04-02 14:30:00,INDEX:MMTW,51.02,51.02,51.02,51.02,0.0
2002-04-03 14:30:00,INDEX:MMTW,46.08,46.08,46.08,46.08,0.0
2002-04-04 14:30:00,INDEX:MMTW,46.7,46.7,46.7,46.7,0.0
2002-04-05 14:30:00,INDEX:MMTW,47.58,47.58,47.58,47.58,0.0
2002-04-08 13:30:00,INDEX:MMTW,50.52,50.52,50.52,50.52,0.0
2002-04-09 13:30:00,INDEX:MMTW,50.56,50.56,50.56,50.56,0.0
2002-04-10 13:30:00,INDEX:MMTW,58.04,58.04,58.04,58.04,0.0
2002-04-11 13:30:00,INDEX:MMTW,50.39,50.39,50.39,50.39,0.0
2002-04-12 13:30:00,INDEX:MMTW,58.18,58.18,58.18,58.18,0.0
2002-04-15 13:30:00,INDEX:MMTW,55.8,55.8,55.8,55.8,0.0
2002-04-16 13:30:00,INDEX:MMTW,68.08,68.08,68.08,68.08,0.0
2002-04-17 13:30:00,INDEX:MMTW,66.93,66.93,66.93,66.93,0.0
2002-04-18 13:30:00,INDEX:MMTW,66.01,66.01,66.01,66.01,0.0
2002-04-19 13:30:00,INDEX:MMTW,65.59,65.59,65.59,65.59,0.0
2002-04-22 13:30:00,INDEX:MMTW,57.57,57.57,57.57,57.57,0.0
2002-04-23 13:30:00,INDEX:MMTW,56.12,56.12,56.12,56.12,0.0
2002-04-24 13:30:00,INDEX:MMTW,53.25,53.25,53.25,53.25,0.0
2002-04-25 13:30:00,INDEX:MMTW,52.44,52.44,52.44,52.44,0.0
